Date:27.06.2025	Unit:F	CHARGE:00:00	TP:00:14	DRYe:03:26	FCs:06:54	FCe:	SCs:	SCe:	DROP:07:58	COOL:	Time:21:48
Time1	Time2	ET	BT	Event
00:00	00:00	-1.0	136.48514	CHARGE
00:02	00:02	-1.0	134.13272	
00:04	00:04	-1.0	129.94718	
00:06	00:06	-1.0	124.24838	
00:08	00:08	-1.0	119.56622	
00:10	00:10	-1.0	116.51126	
00:12	00:12	-1.0	114.64502	
00:14	00:14	-1.0	114.08936	TP
00:16	00:16	-1.0	114.37034	
00:18	00:18	-1.0	115.43144	
00:20	00:20	-1.0	117.4505	
00:22	00:22	-1.0	120.25994	
00:24	00:24	-1.0	123.48248	
00:26	00:26	-1.0	127.2677	
00:28	00:28	-1.0	131.83988	
00:30	00:30	-1.0	136.16672	
00:32	00:32	-1.0	140.93978	
00:34	00:34	-1.0	145.8392	
00:36	00:36	-1.0	150.84896	
00:38	00:38	-1.0	155.4359	
00:40	00:40	-1.0	159.74564	
00:42	00:42	-1.0	164.54174	
00:44	00:44	-1.0	169.2761	
00:46	00:46	-1.0	174.00272	
00:48	00:48	-1.0	178.7396	
00:50	00:50	-1.0	182.97734	
00:52	00:52	-1.0	187.1825	
00:54	00:54	-1.0	191.1821	
00:56	00:56	-1.0	195.32228	
00:58	00:58	-1.0	199.46768	
01:00	01:00	-1.0	203.99594	
01:02	01:02	-1.0	207.98078	
01:04	01:04	-1.0	211.87922	
01:06	01:06	-1.0	215.55536	
01:08	01:08	-1.0	218.80634	
01:10	01:10	-1.0	222.40706	
01:12	01:12	-1.0	225.72032	
01:14	01:14	-1.0	229.40726	
01:16	01:16	-1.0	232.8404	
01:18	01:18	-1.0	235.97132	
01:20	01:20	-1.0	239.405	
01:22	01:22	-1.0	242.75966	
01:24	01:24	-1.0	246.2036	
01:26	01:26	-1.0	249.1025	
01:28	01:28	-1.0	252.06494	
01:30	01:30	-1.0	254.77052	
01:32	01:32	-1.0	257.38448	
01:34	01:34	-1.0	260.11994	
01:36	01:36	-1.0	263.0651	
01:38	01:38	-1.0	265.85906	
01:40	01:40	-1.0	268.37348	
01:42	01:42	-1.0	270.78782	
01:44	01:44	-1.0	273.10586	
01:46	01:46	-1.0	275.7911	
01:48	01:48	-1.0	278.20382	
01:50	01:50	-1.0	280.29542	
01:52	01:52	-1.0	282.42842	
01:54	01:54	-1.0	284.60642	
01:56	01:56	-1.0	286.74212	
01:58	01:58	-1.0	288.73634	
02:00	02:00	-1.0	290.83298	
02:02	02:02	-1.0	292.84448	
02:04	02:04	-1.0	294.37376	
02:06	02:06	-1.0	295.76264	
02:08	02:08	-1.0	297.29354	
02:10	02:10	-1.0	298.95314	
02:12	02:12	-1.0	300.92882	
02:14	02:14	-1.0	302.41004	
02:16	02:16	-1.0	303.91286	
02:18	02:18	-1.0	305.5163	
02:20	02:20	-1.0	306.96098	
02:22	02:22	-1.0	308.66126	
02:24	02:24	-1.0	310.11026	
02:26	02:26	-1.0	311.7317	
02:28	02:28	-1.0	313.02626	
02:30	02:30	-1.0	314.5757	
02:32	02:32	-1.0	316.11146	
02:34	02:34	-1.0	317.57198	
02:36	02:36	-1.0	319.05608	
02:38	02:38	-1.0	320.3177	
02:40	02:40	-1.0	321.84626	
02:42	02:42	-1.0	323.04614	
02:44	02:44	-1.0	324.06422	
02:46	02:46	-1.0	325.10138	
02:48	02:48	-1.0	326.2451	
02:50	02:50	-1.0	327.1766	
02:52	02:52	-1.0	327.98426	
02:54	02:54	-1.0	328.83674	
02:56	02:56	-1.0	330.026	
02:58	02:58	-1.0	331.08134	
03:00	03:00	-1.0	332.08178	
03:02	03:02	-1.0	332.91482	
03:04	03:04	-1.0	333.55688	
03:06	03:06	-1.0	334.57406	
03:08	03:08	-1.0	335.8742	
03:10	03:10	-1.0	336.98948	
03:12	03:12	-1.0	338.00648	
03:14	03:14	-1.0	339.1583	
03:16	03:16	-1.0	340.23848	
03:18	03:18	-1.0	341.21804	
03:20	03:20	-1.0	342.2786	
03:22	03:22	-1.0	343.31	
03:24	03:24	-1.0	344.28704	
03:26	03:26	-1.0	345.17948	DRY End
03:28	03:28	-1.0	345.533	
03:30	03:30	-1.0	346.26092	
03:32	03:32	-1.0	346.93106	
03:34	03:34	-1.0	347.34218	
03:36	03:36	-1.0	348.02726	
03:38	03:38	-1.0	348.56132	
03:40	03:40	-1.0	349.35188	
03:42	03:42	-1.0	350.34746	
03:44	03:44	-1.0	351.34268	
03:46	03:46	-1.0	351.9158	
03:48	03:48	-1.0	352.41314	
03:50	03:50	-1.0	353.18588	
03:52	03:52	-1.0	353.74568	
03:54	03:54	-1.0	354.44354	
03:56	03:56	-1.0	355.36856	
03:58	03:58	-1.0	356.31932	
04:00	04:00	-1.0	357.20528	
