Date:08.07.2025	Unit:F	CHARGE:01:08	TP:01:30	DRYe:05:39	FCs:09:25	FCe:	SCs:	SCe:	DROP:11:36	COOL:	Time:14:23
Time1	Time2	ET	BT	Event	Target Temp	Co-Pilot %		Burner %
00:00		17269.4318	378.3732392		-1.0	-1.0	0.0	60.0
00:01		17269.4318	378.6738032		-1.0	-1.0	0.0	60.0
00:02		17269.4318	378.7594184		-1.0	-1.0	0.0	60.0
00:03		17269.4318	379.0271936		-1.0	-1.0	0.0	60.0
00:04		17269.4318	379.1783864		-1.0	-1.0	0.0	60.0
00:05		17269.4318	379.4406968		-1.0	-1.0	0.0	60.0
00:06		17269.4318	379.6155704		-1.0	-1.0	0.0	60.0
00:07		17269.4318	379.4698424		-1.0	-1.0	0.0	60.0
00:08		17269.4318	379.3150064		-1.0	-1.0	0.0	60.0
00:09		17269.4318	379.1656352		-1.0	-1.0	0.0	60.0
00:10		17269.4318	378.9579728		-1.0	-1.0	0.0	60.0
00:11		17269.4318	378.6209768		-1.0	-1.0	0.0	60.0
00:12		17269.4318	378.2748728		-1.0	-1.0	0.0	60.0
00:13		17269.4318	377.9160176		-1.0	-1.0	0.0	60.0
00:14		17269.4318	377.5243736		-1.0	-1.0	0.0	60.0
00:15		17269.4318	377.1782696		-1.0	-1.0	0.0	60.0
00:16		17269.4318	376.7611232		-1.0	-1.0	0.0	60.0
00:17		17269.4318	376.4514512		-1.0	-1.0	0.0	60.0
00:18		17269.4318	375.9268304		-1.0	-1.0	0.0	60.0
00:19		17269.4318	375.6317312		-1.0	-1.0	0.0	60.0
00:20		17269.4318	375.1162184		-1.0	-1.0	0.0	60.0
00:21		17269.4318	374.726396		-1.0	-1.0	0.0	60.0
00:22		17269.4318	374.2582448		-1.0	-1.0	0.0	60.0
00:23		17269.4318	374.02508		-1.0	-1.0	0.0	60.0
00:24		17269.4318	373.6225064		-1.0	-1.0	0.0	60.0
00:25		17269.4318	373.3365152		-1.0	-1.0	0.0	60.0
00:26		17269.4318	373.1907872		-1.0	-1.0	0.0	60.0
00:27		17269.4318	373.0887776		-1.0	-1.0	0.0	60.0
00:28		17269.4318	372.8792936		-1.0	-1.0	0.0	60.0
00:29		17269.4318	372.8173592		-1.0	-1.0	0.0	60.0
00:30		17269.4318	372.9430496		-1.0	-1.0	0.0	60.0
00:31		17269.4318	372.8173592		-1.0	-1.0	0.0	60.0
00:32		17269.4318	372.904796		-1.0	-1.0	0.0	60.0
00:33		17269.4318	372.7572464		-1.0	-1.0	0.0	60.0
00:34		17269.4318	372.7955		-1.0	-1.0	0.0	60.0
00:35		17269.4318	372.8428616		-1.0	-1.0	0.0	60.0
00:36		17269.4318	372.8392184		-1.0	-1.0	0.0	60.0
00:37		17269.4318	372.7991432		-1.0	-1.0	0.0	60.0
00:38		17269.4318	372.7955		-1.0	-1.0	0.0	60.0
00:39		17269.4318	372.8847584		-1.0	-1.0	0.0	60.0
00:40		17269.4318	372.9485144		-1.0	-1.0	0.0	60.0
